,id,artist_name,track_name,album_name,artist_genre,release_date,artist_popularity,track_popularity,artist_followers,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2245,1Y52L3EqSIIyFnTql1WCHh,Stefan Banica,S-o Facem Lata,Impreuna,"['muzica usoara', 'romanian pop']",2007-01-01,37,0,12944,242453,0.934,1,-6.398,0.0527,0.227,1.29e-06,0.641,0.964,169.929,242453,4
2246,5s8pfQ2Di53NhHBAYHMwyS,Ca$$A Loco,Ce Bine Îmi Pare Că Ai Luat Tzeapă,De Senzație,['classic romanian pop'],2004-07-17,9,0,10641,252440,0.837,3,-5.023,0.0694,0.154,0.0,0.159,0.874,96.928,252440,4
2247,6qq2CIbqkC4VX1wYiKzbPZ,Maximilian,Domnisoare (feat. Zhao & Spike),"Maxim, Am Spus!!!","['romanian pop', 'romanian rap']",2013-10-21,33,39,57755,229493,0.668,2,-6.805,0.101,0.0186,6.96e-05,0.276,0.9,127.991,229493,4
2248,2VajU67jTJA5df6GOwRhOE,Smiley,Acasă,Acasă (Special Edition),['romanian pop'],2013-11-11,49,0,449950,222471,0.597,10,-7.035,0.0394,0.478,0.0,0.102,0.356,160.002,222471,4
2249,4gFNt5Py1o1W5uXRk68HkX,Alex Velea,Cand Noaptea Vine,Cand Noaptea Vine,"['manele', 'romanian pop']",2012-05-01,48,0,144665,220849,0.661,7,-4.073,0.0822,0.0454,2.54e-05,0.0775,0.195,100.008,220849,4
2250,3yV7u0sDOiYUn9tw64I1th,Smiley,Dead Man Walking,Acasă (Special Edition),['romanian pop'],2013-11-11,49,0,449950,201464,0.938,0,-2.842,0.0401,0.0113,0.00359,0.372,0.611,105.006,201464,4
2251,6q4VQSVyvTId9ikauhFa0U,A.S.I.A,Da-mi noptile inapoi,Nopti albe,"['classic romanian pop', 'romanian pop']",2000-01-01,27,0,20976,244012,0.901,5,-5.808,0.0596,0.111,3.6e-05,0.164,0.834,105.049,244012,4
2252,0kjOHpeLmOwq6q8GeV0niz,Fly Project,Raisa,Fly Project,['romanian pop'],2005-02-15,53,38,92769,202440,0.89,1,-3.573,0.063,0.159,0.0,0.307,0.797,130.039,202440,4
2253,4v6APzvW6eb89RLn54Gp4T,Body,Super femei,Super,['classic romanian pop'],2000-01-01,13,27,116,172387,0.814,6,-5.676,0.0435,0.114,0.0,0.0299,0.965,122.987,172387,4
2254,1D4hkI6BFLiFzzEYgMqDhd,Bosquito,Pepita,Sar scantei,"['romanian pop', 'romanian rock']",2001-01-01,34,0,20217,236160,0.775,0,-9.914,0.0663,0.0633,0.0,0.34,0.8,176.117,236160,4
2255,3Zqy36EiXP7WlR3uZ9efTe,Bosquito,"Hopa,hopa",Sar scantei,"['romanian pop', 'romanian rock']",2001-01-01,34,0,20217,199080,0.751,4,-6.858,0.0676,0.0763,0.0,0.283,0.887,107.143,199080,4
2256,4yMsdvWa7XtybVO0tkEIlu,Puya,Undeva-n Balkani,Românisme - partea 1-a,"['romanian pop', 'romanian rap']",2010-04-26,45,0,97187,253160,0.794,7,-5.177,0.263,0.0393,0.0,0.336,0.772,171.903,253160,4
2257,6bAWHe6ddPdXwP42glFlNf,Activ,Doar Cu Tine,Motive,"['classic romanian pop', 'romanian pop']",2004-01-01,29,0,14926,203587,0.745,8,-6.441,0.0333,0.0445,2.85e-05,0.177,0.645,126.015,203587,4
2258,3Qj9R6VJQ2HPXxqUF28QVX,Alex Velea,E Marfa Tare,E Marfa Tare,"['manele', 'romanian pop']",2014-11-28,48,44,144665,210495,0.913,1,-2.372,0.0709,0.201,1.32e-05,0.284,0.953,171.976,210495,4
2259,1WGvP2565Qk7Pr4Ud72Lm6,Corina,Fete din balcani,Fete din balcani,"['classic romanian pop', 'romanian pop']",2015-06-11,34,0,23395,192182,0.693,9,-6.462,0.104,0.0207,1.08e-06,0.325,0.723,91.991,192182,4
2260,6SaIBQzv80zITZvVU7oX3Y,Vita de Vie,Basul Si Cu Toba Mare,Fenomental,['romanian rock'],1999-05-19,32,33,25828,201120,0.876,5,-5.552,0.161,0.0135,2.35e-06,0.109,0.738,96.358,201120,4
2261,6LPxiEiISaQRnbSBMXCJ0m,J. Yolo,"Te Pup, Pa Pa!","Te Pup, Pa Pa!",[],2012-06-21,25,0,441,180907,0.698,2,-6.687,0.0868,0.00367,0.0,0.367,0.896,140.033,180907,4
2262,3vSDWI5QZlInL0ECRAtprp,Smiley,Oarecare,Oarecare,['romanian pop'],2015,49,30,449950,233350,0.8,9,-3.116,0.0314,0.342,6.68e-06,0.274,0.83,126.015,233350,4
2263,7EEvGDme6Flme3F7VKcCd3,RANDI,Visator,Visator,['romanian pop'],2015-11-25,46,0,99835,229279,0.534,10,-7.705,0.0663,0.217,0.0,0.292,0.45,77.957,229279,4
2264,7Bd0bbMIHQWch1AHv6yb7i,Connect-R,Love Is the Way,Love Is the Way,['romanian pop'],2012-05-19,49,30,117720,190431,0.695,8,-7.508,0.0415,0.0353,3.6e-06,0.0767,0.676,127.941,190431,4
